t,rhythmicity
172.0,0.010582480026381944
173.0,0.010582480026381944
174.0,0.06614297028116112
175.0,0.21711866247092454
176.0,0.21711866247092454
177.0,0.21711866247092454
178.0,0.2120592873880823
179.0,0.21109642835237363
180.0,0.1696863225735633
181.0,0.00952225131582264
182.0,0.00952225131582264
183.0,0.00952225131582264
184.0,0.032894430208927565
185.0,0.09210734021299027
186.0,0.37013343574263935
187.0,0.4569192488380849
188.0,0.7197111496924379
189.0,0.7197111496924379
190.0,0.7197111496924379
191.0,0.4308258652745714
192.0,0.42687742386483873
193.0,0.29586407273967796
194.0,0.29586407273967796
195.0,0.29586407273967796
196.0,0.3362346465695129
197.0,0.3389634084591213
198.0,0.39543093091740095
199.0,0.4287784500793077
200.0,0.4287784500793077
201.0,0.4619499883167774
202.0,0.4619499883167774
203.0,0.4643686812729889
204.0,0.47751174720654305
205.0,0.4799450705284943
206.0,0.591833434283104
207.0,0.5923668068253753
208.0,0.6012959310997538
209.0,0.6684239322223795
210.0,0.9124571036360715
211.0,0.9180209279659004
212.0,0.9180209279659004
213.0,0.9425429661683095
214.0,0.9425429661683095
215.0,0.9425429661683095
216.0,0.9315356682261512
217.0,0.9088800342565738
218.0,0.9008822944268828
219.0,0.8000912657354324
220.0,0.7795444443566655
221.0,0.7795444443566655
222.0,0.7482640259443811
223.0,0.7848632645562725
224.0,0.7482640259443811
225.0,0.7482640259443811
226.0,0.7072387782768003
227.0,0.6977238641715516
228.0,0.6799044182159473
229.0,0.6250246397251455
230.0,0.6250246397251455
231.0,0.6125856048704733
232.0,0.5185818399643629
233.0,0.5929784356252218
234.0,0.6125856048704733
235.0,0.6125856048704733
236.0,0.7578491541879767
237.0,0.7578491541879767
238.0,0.7578491541879767
239.0,0.7129567378510001
240.0,0.6601564636481014
241.0,0.6601564636481014
242.0,0.6810188776833831
243.0,0.7129567378510001
244.0,0.7103782673412732
245.0,0.7354024814354212
246.0,0.7445813581653079
247.0,0.7445813581653079
248.0,0.7445813581653079
249.0,0.7445813581653079
250.0,0.7378455975844145
251.0,0.7141793652637958
252.0,0.7141793652637958
253.0,0.6909268461062865
254.0,0.6909268461062865
255.0,0.1018711942945481
256.0,0.1018711942945481
257.0,0.09865645053376741
258.0,0.09865645053376741
259.0,0.08184285325161773
260.0,0.06352002393388326
261.0,0.03613847183872748
262.0,0.026851134585484094
263.0,0.018557240059216593
264.0,0.005531680648604256
265.0,0.0005288138905257746
266.0,1.4866102549733455e-05
267.0,0.0
268.0,0.0
